ID,COUNTY_ID,COUNTY,TOTAL_POPULATION,PER_TOTAL_POPULATION,POPU_DENSITY,HH_MEDIAN_AGE,DI_RACE_WH,DI_RACE_AF,DI_RACE_AI_AN,DI_RACE_ASIAN,DI_RACE_NW,DI_RACE_SOM,DI_NOT_HISP,DI_PERC_NOT_HISP,WF_OCCUP_1,WF_OCCUP_2,WF_OCCUP_3,WF_OCCUP_4,WF_OCCUP_5,WF_IND_1,WF_IND_2,WF_IND_3,WF_IND_4,WF_IND_5,WF_IND_6,WF_IND_7,WF_IND_8,WF_IND_9,WF_IND_10,WF_IND_11,WF_IND_12,WF_IND_13,WF_CSW_1,WF_CSW_2,WF_CSW_3,WF_CSW_4,INC_MD_HOUSE,INC_PER_CAP,HH_UD_18,HH_OVR_65,HH_AVG_SIZE,WF_OVR_25,WF_PER_OVR_25,DI_BR_DF,DI_FB,DI_PER_FB,DI_FB_2010,DI_FB_EU,DI_FB_A,DI_FB_AF,DI_FB_OC,DI_FB_LA,DI_FB_NA,DI_NON_ENG,HH_OW_OC,HH_PER_OW_OC,INC_HM_VALUE
0500000US08059,8059,"Jefferson County, Colorado",546162,546162,699.5,40.4,496471,5869,4884,13961,327,10115,465014,79.2,125414,43138,72503,23090,22653,4410,20816,21959,9204,31787,12655,8969,20734,41964,56180,27029,14490,16601,78.9,14.5,6.5,0.1,69698,36427,60431,23.9,2.44,99724,26.1,249626,35097,6.4,2541,8753,10180,1162,252,13188,1562,53817,220814,95.5,154706
0500000US21111,21111,"Jefferson County, Kentucky",751485,751485,1948.1,37.9,549890,155105,1121,17745,290,5847,717096,69.9,130393,58874,89284,23702,53434,1100,16486,39241,11437,37376,27060,8200,29112,35680,87310,34712,16857,11116,83.7,11.6,4.6,0.1,47692,28464,80332,24.6,2.4,92375,18.1,175231,50345,6.7,6559,7048,16454,6441,197,19435,770,59126,306511,90.4,190583
0500000US29099,29099,"Jefferson County, Missouri",220558,220558,333.1,38.4,212700,1925,526,1429,140,747,216810,95.1,30794,19736,27289,13136,15076,529,9826,12384,3165,13141,5534,1814,8077,10676,22370,8937,5832,3746,84.6,10,5.2,0.2,55563,25034,26081,22.9,2.68,18114,12.2,39507,3623,1.6,160,1591,1324,43,62,530,73,5963,81504,92.3,66678
0500000US36045,36045,"Jefferson County, New York",118885,118885,91.6,31.9,102932,6177,552,1744,331,2442,111076,83.5,14243,9427,11295,4918,4565,658,3078,2793,813,6560,1620,756,1802,3249,11091,4068,2241,5719,66.5,26.7,6.7,0.1,48613,23681,15108,21.3,2.52,8698,11.8,33056,4978,4.2,389,1349,1208,359,107,1606,349,8393,44822,76.9,24989
0500000US48245,48245,"Jefferson County, Texas",252466,252466,287.9,35.9,145308,84601,832,9089,117,7885,206802,43.4,29138,21033,23978,13352,14701,1928,9939,12641,2822,12178,4723,1308,4374,9188,23882,9060,5432,4727,80.5,14.6,4.7,0.1,42368,23563,26843,26.3,2.55,21290,12.8,50348,27377,10.8,1737,518,6707,777,1,18961,413,49111,92771,87.4,59064
0500000US22051,22051,"Jefferson Parish, Louisiana",434528,434528,1463.1,38.6,276653,115490,2302,17851,154,14803,377193,54.9,65855,39082,54047,27355,22355,4178,20365,13705,6905,24576,12491,3482,12562,22435,41514,24448,11769,10264,81.8,12.4,5.6,0.1,47871,27067,44832,26.7,2.57,48184,16.1,62140,50390,11.6,3923,2314,13231,1225,75,33297,248,70402,167840,88.7,104951
0500000US18081,18081,"Johnson County, Indiana",143789,143789,435.8,37.2,134480,2700,253,2753,14,1274,139073,91.4,25080,10275,18480,6476,9240,801,4382,10777,1677,8861,4114,1278,4236,6577,14667,5195,4059,2927,84.5,10.3,5.1,0.2,60644,28500,17740,23.9,2.67,17225,18.3,32650,5302,3.7,676,762,2671,680,0,1118,71,7485,52873,91.6,38308
0500000US19103,19103,"Johnson County, Iowa",136802,136802,213.1,29.7,116059,7021,316,7855,224,2371,129756,81.8,34945,13676,16332,3962,7549,1041,2785,6055,1486,6946,2560,1365,4304,6240,30805,8382,2782,1713,65.6,29.2,5,0.1,54985,31131,14437,16.3,2.34,22137,27.6,41965,13474,9.8,2852,1433,7037,2144,62,2548,250,18045,54850,95.8,32712
0500000US20091,20091,"Johnson County, Kansas",560025,560025,1149.6,36.6,487931,24670,1686,24266,186,5641,519271,81.3,146491,37615,77533,15769,20934,1452,14466,24579,11573,33088,12382,12337,29426,47390,67159,22834,12709,8947,83.9,10.7,5.2,0.1,75017,39447,73452,21.1,2.55,123857,33.2,284883,46028,8.2,3937,5096,19278,4930,176,15684,855,57875,217826,95,152020
0500000US48251,48251,"Johnson County, Texas",153854,153854,208.3,36.4,141830,3727,849,1144,608,2304,124501,75.2,21369,9984,16531,9134,11577,3055,5579,9942,1951,8307,5090,751,3348,4665,14803,4535,3427,3142,80.3,13.9,5.6,0.2,58221,24787,18820,24.6,2.84,11731,11.8,36119,11454,7.4,397,590,1009,72,388,9242,153,22136,53255,92,39739
